"ly" Verbs		Length	|	Verbs	Length	|	Adjectives	Length	|	Nouns		Length	|	Superlatives	Length
                        |   hedge	5       |   queasy		6       | 				       |
                        |   heave	5       |   quirky		6       | 				       |
                        |   haunt	5       |   racial		6       | 				       |
                        |   hatch	5       |   racist		6       | 				       |
                        |   halve	5       |   ragged		6       | 				       |
                        |   guide	5       |   raging		6       | 				       |
                        |   guess	5       |   rakish		6       | 				       |
                        |   guard	5       |   rancid		6       | 				       |
                        |   grunt	5       |   random		6       | 				       |
                        |   growl	5       |   raving		6       | 				       |
                        |   group	5       |   recent		6       | 				       |
                        |   grope	5       |   remote		6       | 				       |
                        |   groom	5       |   rented		6       | 				       |
                        |   groan	5       |   rested		6       | 				       |
                        |   gripe	5       |   richer		6       | 				       |
                        |   grind	5       |   robust		6       | 				       |
                        |   grill	5       |   rotten		6       | 				       |
                        |   greet	5       |   rotund		6       | 				       |
                        |   graze	5       |   rueful		6       | 				       |
                        |   grate	5       |   rugged		6       | 				       |
                        |   grasp	5       |   ruined		6       | 				       |
                        |   grant	5       |   rusted		6       | 				       |
                        |   graft	5       |   rustic		6       | 				       |
                        |   grade	5       |   rutted		6       | 				       |
                        |   grace	5       |   sacred		6       | 				       |
                        |   gouge	5       |   salted		6       | 				       |
                        |   gloss	5       |   satiny		6       | 				       |
                        |   glide	5       |   savage		6       | 				       |
                        |   glean	5       |   savory		6       | 				       |
                        |   gleam	5       |   scanty		6       | 				       |
                        |   glaze	5       |   scarce		6       | 				       |
                        |   glare	5       |   scared		6       | 				       |
                        |   gauge	5       |   scenic		6       | 				       |
                        |   frown	5       |   scummy		6       | 				       |
                        |   frost	5       |   sealed		6       | 				       |
                        |   front	5       |   second		6       | 				       |
                        |   frame	5       |   secret		6       | 				       |
                        |   found	5       |   secure		6       | 				       |
                        |   forgo	5       |   sedate		6       | 				       |
                        |   forge	5       |   seemly		6       | 				       |
                        |   force	5       |   select		6       | 				       |
                        |   focus	5       |   senior		6       | 				       |
                        |   flush	5       |   serene		6       | 				       |
                        |   flout	5       |   serial		6       | 				       |
                        |   floor	5       |   severe		6       | 				       |
                        |   flood	5       |   shabby		6       | 				       |
                        |   flock	5       |   shaded		6       | 				       |
                        |   float	5       |   shaggy		6       | 				       |
                        |   flirt	5       |   shifty		6       | 				       |
                        |   fling	5       |   shoddy		6       | 				       |
                        |   flick	5       |   shrewd		6       | 				       |
                        |   flash	5       |   shrill		6       | 				       |
                        |   flare	5       |   sickly		6       | 				       |
                        |   flank	5       |   signed		6       | 				       |
                        |   flame	5       |   silent		6       | 				       |
                        |   fight	5       |   silver		6       | 				       |
                        |   field	5       |   simian		6       | 				       |
                        |   fetch	5       |   simple		6       | 				       |
                        |   ferry	5       |   sinful		6       | 				       |
                        |   fence	5       |   single		6       | 				       |
                        |   feign	5       |   skimpy		6       | 				       |
                        |   favor	5       |   skinny		6       | 				       |
                        |   fault	5       |   sleepy		6       | 				       |
                        |   fancy	5       |   slight		6       | 				       |
                        |   faint	5       |   sloped		6       | 				       |
                        |   expel	5       |   sloppy		6       | 				       |
                        |   exist	5       |   slushy		6       | 				       |
                        |   exile	5       |   smarmy		6       | 				       |
                        |   exert	5       |   smelly		6       | 				       |
                        |   excel	5       |   smoggy		6       | 				       |
                        |   exalt	5       |   smoked		6       | 				       |
                        |   exact	5       |   smooth		6       | 				       |
                        |   evoke	5       |   snappy		6       | 				       |
                        |   evict	5       |   sneaky		6       | 				       |
                        |   evade	5       |   snippy		6       | 				       |
                        |   erupt	5       |   snoopy		6       | 				       |
                        |   erode	5       |   snooty		6       | 				       |
                        |   erect	5       |   snotty		6       | 				       |
                        |   erase	5       |   soaked		6       | 				       |
                        |   equip	5       |   social		6       | 				       |
                        |   equal	5       |   solemn		6       | 				       |
                        |   enter	5       |   somber		6       | 				       |
                        |   ensue	5       |   sordid		6       | 				       |
                        |   enjoy	5       |   sparse		6       | 				       |
                        |   endow	5       |   speedy		6       | 				       |
                        |   enact	5       |   spiffy		6       | 				       |
                        |   empty	5       |   spinal		6       | 				       |
                        |   emend	5       |   spiral		6       | 				       |
                        |   embed	5       |   spoken		6       | 				       |
                        |   elude	5       |   spongy		6       | 				       |
                        |   elect	5       |   spooky		6       | 				       |
                        |   elbow	5       |   spotty		6       | 				       |
                        |   elate	5       |   sprite		6       | 				       |
                        |   eject	5       |   square		6       | 				       |
                        |   dwell	5       |   stable		6       | 				       |
                        |   dwarf	5       |   stanch		6       | 				       |
                        |   drown	5       |   static		6       | 				       |
                        |   droop	5       |   status		6       | 				       |
                        |   drone	5       |   steady		6       | 				       |
                        |   drive	5       |   steamy		6       | 				       |
                        |   drink	5       |   steely		6       | 				       |
                        |   drill	5       |   sticky		6       | 				       |
                        |   drift	5       |   stingy		6       | 				       |
                        |   dress	5       |   stinky		6       | 				       |
                        |   dream	5       |   stodgy		6       | 				       |
                        |   dread	5       |   stormy		6       | 				       |
                        |   drawl	5       |   street		6       | 				       |
                        |   drape	5       |   strict		6       | 				       |
                        |   drain	5       |   strong		6       | 				       |
                        |   draft	5       |   stubby		6       | 				       |
                        |   douse	5       |   stuffy		6       | 				       |
                        |   doubt	5       |   sturdy		6       | 				       |
                        |   dodge	5       |   subtle		6       | 				       |
                        |   ditch	5       |   sudden		6       | 				       |
                        |   deter	5       |   sugary		6       | 				       |
                        |   delve	5       |   sullen		6       | 				       |
                        |   delay	5       |   superb		6       | 				       |
                        |   defer	5       |   supple		6       | 				       |
                        |   decay	5       |   swanky		6       | 				       |
                        |   debit	5       |   sweaty		6       | 				       |
                        |   dance	5       |   taller		6       | 				       |
                        |   cycle	5       |   tanned		6       | 				       |
                        |   curve	5       |   taxing		6       | 				       |
                        |   curse	5       |   teensy		6       | 				       |
                        |   crush	5       |   tender		6       | 				       |
                        |   crown	5       |   tested		6       | 				       |
                        |   crowd	5       |   tetchy		6       | 				       |
                        |   cross	5       |   thorny		6       | 				       |
                        |   croak	5       |   timely		6       | 				       |
                        |   crest	5       |   tiring		6       | 				       |
                        |   creep	5       |   toothy		6       | 				       |
                        |   creak	5       |   torpid		6       | 				       |
                        |   crawl	5       |   torrid		6       | 				       |
                        |   crave	5       |   touchy		6       | 				       |
                        |   crash	5       |   tragic		6       | 				       |
                        |   crane	5       |   trashy		6       | 				       |
                        |   cramp	5       |   trendy		6       | 				       |
                        |   craft	5       |   tribal		6       | 				       |
                        |   crack	5       |   tricky		6       | 				       |
                        |   covet	5       |   trusty		6       | 				       |
                        |   cover	5       |   trying		6       | 				       |
                        |   court	5       |   unable		6       | 				       |
                        |   count	5       |   uneasy		6       | 				       |
                        |   cough	5       |   uneven		6       | 				       |
                        |   couch	5       |   unfair		6       | 				       |
                        |   color	5       |   unique		6       | 				       |
                        |   coach	5       |   united		6       | 				       |
                        |   cloud	5       |   unjust		6       | 				       |
                        |   cloth	5       |   unkind		6       | 				       |
                        |   close	5       |   unripe		6       | 				       |
                        |   clone	5       |   unruly		6       | 				       |
                        |   clock	5       |   unsafe		6       | 				       |
                        |   cloak	5       |   unsure		6       | 				       |
                        |   cling	5       |   untidy		6       | 				       |
                        |   climb	5       |   unused		6       | 				       |
                        |   click	5       |   unwary		6       | 				       |
                        |   clear	5       |   unwise		6       | 				       |
                        |   clean	5       |   upbeat		6       | 				       |
                        |   clasp	5       |   upmost		6       | 				       |
                        |   clash	5       |   uppity		6       | 				       |
                        |   clamp	5       |   upward		6       | 				       |
                        |   claim	5       |   urbane		6       | 				       |
                        |   churn	5       |   urgent		6       | 				       |
                        |   chuck	5       |   usable		6       | 				       |
                        |   choke	5       |   useful		6       | 				       |
                        |   chirp	5       |   vacant		6       | 				       |
                        |   chime	5       |   varied		6       | 				       |
                        |   chill	5       |   verbal		6       | 				       |
                        |   chide	5       |   versed		6       | 				       |
                        |   cheer	5       |   vexing		6       | 				       |
                        |   check	5       |   viable		6       | 				       |
                        |   cheat	5       |   violet		6       | 				       |
                        |   chase	5       |   visual		6       | 				       |
                        |   chart	5       |   vulgar		6       | 				       |
                        |   charm	5       |   wanton		6       | 				       |
                        |   chant	5       |   wasted		6       | 				       |
                        |   chair	5       |   watery		6       | 				       |
                        |   chain	5       |   weekly		6       | 				       |
                        |   cease	5       |   wicked		6       | 				       |
                        |   cause	5       |   wiggly		6       | 				       |
                        |   cater	5       |   winter		6       | 				       |
                        |   catch	5       |   wobbly		6       | 				       |
                        |   carve	5       |   woeful		6       | 				       |
                        |   carry	5       |   wonted		6       | 				       |
                        |   burst	5       |   wooden		6       | 				       |
                        |   bunch	5       |   wooing		6       | 				       |
                        |   bully	5       |   woolen		6       | 				       |
                        |   bulge	5       |   worthy		6       | 				       |
                        |   build	5       |   yearly		6       | 				       |
                        |   brush	5       |   yellow		6       | 				       |
                        |   brood	5       |   zonked		6       | 				       |
                        |   bring	5       |                         				       |
                        |   brief	5       |                         				       |
                        |   bribe	5       |                         				       |
                        |   breed	5       |                         				       |
                        |   break	5       |                         				       |
                        |   brave	5       |                         				       |
                        |   brand	5       |                         				       |
                        |   brake	5       |                         				       |
                        |   braid	5       |                         				       |
                        |   brace	5       |                         				       |
                        |   bound	5       |                         				       |
                        |   boost	5       |                         				       |
                        |   boast	5       |                         				       |
                        |   board	5       |                         				       |
                        |   blush	5       |                         				       |
                        |   blurt	5       |                         				       |
                        |   bloom	5       |                         				       |
                        |   block	5       |                         				       |
                        |   bloat	5       |                         				       |
                        |   blink	5       |                         				       |
                        |   blind	5       |                         				       |
                        |   bless	5       |                         				       |
                        |   blend	5       |                         				       |
                        |   bleed	5       |                         				       |
                        |   blaze	5       |                         				       |
                        |   blast	5       |                         				       |
                        |   blame	5       |                         				       |
                        |   beset	5       |                         				       |
                        |   belch	5       |                         				       |
                        |   begin	5       |                         				       |
                        |   beach	5       |                         				       |
                        |   batch	5       |                         				       |
                        |   baste	5       |                         				       |
                        |   barge	5       |                         				       |
                        |   award	5       |                         				       |
                        |   awake	5       |                         				       |
                        |   await	5       |                         				       |
                        |   avoid	5       |                         				       |
                        |   avert	5       |                         				       |
                        |   avail	5       |                         				       |
                        |   audit	5       |                         				       |
                        |   atone	5       |                         				       |
                        |   assay	5       |                         				       |
                        |   armor	5       |                         				       |
                        |   arise	5       |                         				       |
                        |   argue	5       |                         				       |
                        |   apply	5       |                         				       |
                        |   annul	5       |                         				       |
                        |   annoy	5       |                         				       |
                        |   annex	5       |                         				       |
                        |   anger	5       |                         				       |
                        |   amuse	5       |                         				       |
                        |   amend	5       |                         				       |
                        |   amaze	5       |                         				       |
                        |   amass	5       |                         				       |
                        |   alter	5       |                         				       |
                        |   allow	5       |                         				       |
                        |   allot	5       |                         				       |
                        |   align	5       |                         				       |
                        |   alert	5       |                         				       |
                        |   alarm	5       |                         				       |
                        |   agree	5       |                         				       |
                        |   affix	5       |                         				       |
                        |   adorn	5       |                         				       |
                        |   adore	5       |                         				       |
                        |   adopt	5       |                         				       |
                        |   admit	5       |                         				       |
                        |   adapt	5       |                         				       |
                        |   abuse	5       |                         				       |
                        |   abort	5       |                         				       |
                        |   abide	5       |                         				       |
                        |   abhor	5       |                         				       |
                        |   abate	5       |                         				       |
                        |   zoom	4       |                         				       |
                        |   yelp	4       |                         				       |
                        |   yell	4       |                         				       |
                        |   yawn	4       |                         				       |
                        |   yank	4       |                         				       |
                        |   wrap	4       |                         				       |
                        |   work	4       |                         				       |
                        |   word	4       |                         				       |
                        |   wish	4       |                         				       |
                        |   wire	4       |                         				       |
                        |   wipe	4       |                         				       |
                        |   wink	4       |                         				       |
                        |   wind	4       |                         				       |
                        |   will	4       |                         				       |
                        |   whip	4       |                         				       |
                        |   weld	4       |                         				       |
                        |   weep	4       |                         				       |
                        |   wear	4       |                         				       |
                        |   wean	4       |                         				       |
                        |   wave	4       |                         				       |
                        |   wash	4       |                         				       |
                        |   warp	4       |                         				       |
                        |   warn	4       |                         				       |
                        |   warm	4       |                         				       |
                        |   want	4       |                         				       |
                        |   wane	4       |                         				       |
                        |   wall	4       |                         				       |
                        |   walk	4       |                         				       |
                        |   wake	4       |                         				       |
                        |   wait	4       |                         				       |
                        |   wail	4       |                         				       |
                        |   wage	4       |                         				       |
                        |   wade	4       |                         				       |
                        |   vote	4       |                         				       |
                        |   void	4       |                         				       |
                        |   view	4       |                         				       |
                        |   veto	4       |                         				       |
                        |   vest	4       |                         				       |
                        |   vent	4       |                         				       |
                        |   veer	4       |                         				       |
                        |   vary	4       |                         				       |
                        |   urge	4       |                         				       |
                        |   undo	4       |                         				       |
                        |   type	4       |                         				       |
                        |   turn	4       |                         				       |
                        |   tune	4       |                         				       |
                        |   tuck	4       |                         				       |
                        |   trot	4       |                         				       |
                        |   trip	4       |                         				       |
                        |   trim	4       |                         				       |
                        |   trap	4       |                         				       |
                        |   tout	4       |                         				       |
                        |   tour	4       |                         				       |
                        |   toss	4       |                         				       |
                        |   tone	4       |                         				       |
                        |   toil	4       |                         				       |
                        |   tire	4       |                         				       |
                        |   tint	4       |                         				       |
                        |   time	4       |                         				       |
                        |   tilt	4       |                         				       |
                        |   till	4       |                         				       |
                        |   tile	4       |                         				       |
                        |   tick	4       |                         				       |
                        |   thud	4       |                         				       |
                        |   thin	4       |                         				       |
                        |   thaw	4       |                         				       |
                        |   test	4       |                         				       |
                        |   term	4       |                         				       |
                        |   tend	4       |                         				       |
                        |   tell	4       |                         				       |
                        |   tear	4       |                         				       |
                        |   team	4       |                         				       |
                        |   tape	4       |                         				       |
                        |   tame	4       |                         				       |
                        |   talk	4       |                         				       |
                        |   take	4       |                         				       |
                        |   tail	4       |                         				       |
                        |   tack	4       |                         				       |
                        |   swim	4       |                         				       |
                        |   sway	4       |                         				       |
                        |   swap	4       |                         				       |
                        |   suit	4       |                         				       |
                        |   suck	4       |                         				       |
                        |   stun	4       |                         				       |
                        |   stub	4       |                         				       |
                        |   stow	4       |                         				       |
                        |   stop	4       |                         				       |
                        |   stir	4       |                         				       |
                        |   step	4       |                         				       |
                        |   stem	4       |                         				       |
                        |   stay	4       |                         				       |
                        |   stab	4       |                         				       |
                        |   spur	4       |                         				       |
                        |   spot	4       |                         				       |
                        |   spit	4       |                         				       |
                        |   spin	4       |                         				       |
                        |   span	4       |                         				       |
                        |   sour	4       |                         				       |
                        |   sort	4       |                         				       |
                        |   soil	4       |                         				       |
                        |   soar	4       |                         				       |
                        |   soak	4       |                         				       |
                        |   snub	4       |                         				       |
                        |   snow	4       |                         				       |
                        |   snap	4       |                         				       |
                        |   slur	4       |                         				       |
                        |   slug	4       |                         				       |
                        |   slow	4       |                         				       |
                        |   slit	4       |                         				       |
                        |   slip	4       |                         				       |
                        |   slay	4       |                         				       |
                        |   slap	4       |                         				       |
                        |   slam	4       |                         				       |
                        |   skip	4       |                         				       |
                        |   skin	4       |                         				       |
                        |   skim	4       |                         				       |
                        |   skid	4       |                         				       |
                        |   skew	4       |                         				       |
                        |   size	4       |                         				       |
                        |   sire	4       |                         				       |
                        |   sink	4       |                         				       |
                        |   sing	4       |                         				       |
                        |   sign	4       |                         				       |
                        |   sigh	4       |                         				       |
                        |   sift	4       |                         				       |
                        |   side	4       |                         				       |
                        |   shut	4       |                         				       |
                        |   shun	4       |                         				       |
                        |   show	4       |                         				       |
                        |   shop	4       |                         				       |
                        |   ship	4       |                         				       |
                        |   shed	4       |                         				       |
                        |   send	4       |                         				       |
                        |   sell	4       |                         				       |
                        |   seep	4       |                         				       |
                        |   seem	4       |                         				       |
                        |   seek	4       |                         				       |
                        |   seed	4       |                         				       |
                        |   seat	4       |                         				       |
                        |   seal	4       |                         				       |
                        |   scar	4       |                         				       |
                        |   scan	4       |                         				       |
                        |   save	4       |                         				       |
                        |   sass	4       |                         				       |
                        |   salt	4       |                         				       |
                        |   sail	4       |                         				       |
                        |   sack	4       |                         				       |
                        |   rust	4       |                         				       |
                        |   rush	4       |                         				       |
                        |   rule	4       |                         				       |
                        |   ruin	4       |                         				       |
                        |   rope	4       |                         				       |
                        |   root	4       |                         				       |
                        |   romp	4       |                         				       |
                        |   roll	4       |                         				       |
                        |   rock	4       |                         				       |
                        |   roar	4       |                         				       |
                        |   roam	4       |                         				       |
                        |   risk	4       |                         				       |
                        |   rise	4       |                         				       |
                        |   ring	4       |                         				       |
                        |   ride	4       |                         				       |
                        |   rest	4       |                         				       |
                        |   rent	4       |                         				       |
                        |   rely	4       |                         				       |
                        |   rein	4       |                         				       |
                        |   reel	4       |                         				       |
                        |   rear	4       |                         				       |
                        |   reap	4       |                         				       |
                        |   read	4       |                         				       |
                        |   raze	4       |                         				       |
                        |   rave	4       |                         				       |
                        |   rate	4       |                         				       |
                        |   rant	4       |                         				       |
                        |   rank	4       |                         				       |
                        |   rake	4       |                         				       |
                        |   rain	4       |                         				       |
                        |   raid	4       |                         				       |
                        |   rage	4       |                         				       |
                        |   rack	4       |                         				       |
                        |   race	4       |                         				       |
                        |   quiz	4       |                         				       |
                        |   quit	4       |                         				       |
                        |   quip	4       |                         				       |
                        |   push	4       |                         				       |
                        |   purr	4       |                         				       |
                        |   pump	4       |                         				       |
                        |   pull	4       |                         				       |
                        |   puff	4       |                         				       |
                        |   prop	4       |                         				       |
                        |   prod	4       |                         				       |
                        |   pray	4       |                         				       |
                        |   pout	4       |                         				       |
                        |   pour	4       |                         				       |
                        |   post	4       |                         				       |
                        |   pose	4       |                         				       |
                        |   pool	4       |                         				       |
                        |   poll	4       |                         				       |
                        |   poke	4       |                         				       |
                        |   plug	4       |                         				       |
                        |   plow	4       |                         				       |
                        |   plot	4       |                         				       |
                        |   plod	4       |                         				       |
                        |   play	4       |                         				       |
                        |   plan	4       |                         				       |
                        |   pity	4       |                         				       |
                        |   pipe	4       |                         				       |
                        |   pine	4       |                         				       |
                        |   pile	4       |                         				       |
                        |   pick	4       |                         				       |
                        |   pelt	4       |                         				       |
                        |   peer	4       |                         				       |
                        |   peep	4       |                         				       |
                        |   peel	4       |                         				       |
                        |   peck	4       |                         				       |
                        |   peak	4       |                         				       |
                        |   pave	4       |                         				       |
                        |   pass	4       |                         				       |
                        |   part	4       |                         				       |
                        |   park	4       |                         				       |
                        |   pare	4       |                         				       |
                        |   pant	4       |                         				       |
                        |   pair	4       |                         				       |
                        |   page	4       |                         				       |
                        |   pack	4       |                         				       |
                        |   pace	4       |                         				       |
                        |   oust	4       |                         				       |
                        |   open	4       |                         				       |
                        |   ooze	4       |                         				       |
                        |   omit	4       |                         				       |
                        |   obey	4       |                         				       |
                        |   numb	4       |                         				       |
                        |   note	4       |                         				       |
                        |   nose	4       |                         				       |
                        |   nick	4       |                         				       |
                        |   nest	4       |                         				       |
                        |   need	4       |                         				       |
                        |   near	4       |                           					       |
                        |   name	4       |                           					       |
                        |   nail	4       |                           					       |
                        |   mute	4       |                           					       |
                        |   muse	4       |                           					       |
                        |   move	4       |                           					       |
                        |   mope	4       |                           					       |
                        |   moor	4       |                           					       |
                        |   mold	4       |                           					       |
                        |   mock	4       |                           					       |
                        |   moan	4       |                           					       |
                        |   miss	4       |                           					       |
                        |   mint	4       |                           					       |
                        |   mine	4       |                           					       |
                        |   mind	4       |                           					       |
                        |   mill	4       |                           					       |
                        |   milk	4       |                           					       |
                        |   mess	4       |                           					       |
                        |   mend	4       |                           					       |
                        |   melt	4       |                           					       |
                        |   meet	4       |                           					       |
                        |   mean	4       |                           					       |
                        |   maul	4       |                           					       |
                        |   mass	4       |                           					       |
                        |   mask	4       |                           					       |
                        |   mash	4       |                           					       |
                        |   mark	4       |                           					       |
                        |   make	4       |                           					       |
                        |   maim	4       |                           					       |
                        |   mail	4       |                           					       |
                        |   lurk	4       |                           					       |
                        |   lump	4       |                           					       |
                        |   lull	4       |                           					       |
                        |   love	4       |                           					       |
                        |   lose	4       |                           					       |
                        |   loot	4       |                           					       |
                        |   loop	4       |                           					       |
                        |   loom	4       |                           					       |
                        |   look	4       |                           					       |
                        |   long	4       |                           					       |
                        |   lock	4       |                           					       |
                        |   loan	4       |                           					       |
                        |   load	4       |
                        |   live	4       |
                        |   list	4       |
                        |   link	4       |
                        |   line	4       |
                        |   limp	4       |
                        |   like	4       |
                        |   lift	4       |
                        |   lick	4       |
                        |   levy	4       |
                        |   lend	4       |
                        |   leer	4       |
                        |   leap	4       |
                        |   lean	4       |
                        |   leak	4       |
                        |   lead	4       |
                        |   laud	4       |
                        |   last	4       |
                        |   lash	4       |
                        |   land	4       |
                        |   lack	4       |
                        |   lace	4       |
                        |   know	4       |
                        |   knot	4       |
                        |   knit	4       |
                        |   kiss	4       |
                        |   kill	4       |
                        |   kick	4       |
                        |   keep	4       |
                        |   jump	4       |
                        |   jolt	4       |
                        |   joke	4       |
                        |   join	4       |
                        |   jerk	4       |
                        |   jeer	4       |
                        |   jail	4       |
                        |   itch	4       |
                        |   iron	4       |
                        |   inch	4       |
                        |   hush	4       |
                        |   hurt	4       |
                        |   hurl	4       |
                        |   hunt	4       |
                        |   howl	4       |
                        |   host	4       |
                        |   hope	4       |
                        |   hoot	4       |
                        |   hook	4       |
                        |   hone	4       |
                        |   hole	4       |
                        |   hold	4       |
                        |   hiss	4       |
                        |   hire	4       |
                        |   hint	4       |
                        |   hide	4       |
                        |   herd	4       |
                        |   help	4       |
                        |   heed	4       |
                        |   heat	4       |
                        |   hear	4       |
                        |   heap	4       |
                        |   heal	4       |
                        |   head	4       |
                        |   haul	4       |
                        |   hate	4       |
                        |   harm	4       |
                        |   hang	4       |
                        |   hand	4       |
                        |   halt	4       |
                        |   hail	4       |
                        |   hack	4       |
                        |   gush	4       |
                        |   gulp	4       |
                        |   grow	4       |
                        |   grit	4       |
                        |   grip	4       |
                        |   grin	4       |
                        |   grab	4       |
                        |   goad	4       |
                        |   gnaw	4       |
                        |   glue	4       |
                        |   glow	4       |
                        |   give	4       |
                        |   gild	4       |
                        |   gift	4       |
                        |   gear	4       |
                        |   gaze	4       |
                        |   gasp	4       |
                        |   gain	4       |
                        |   fuss	4       |
                        |   fund	4       |
                        |   fume	4       |
                        |   fuel	4       |
                        |   fret	4       |
                        |   free	4       |
                        |   foul	4       |
                        |   form	4       |
                        |   fork	4       |
                        |   ford	4       |
                        |   fool	4       |
                        |   fold	4       |
                        |   foil	4       |
                        |   flow	4       |
                        |   flop	4       |
                        |   flog	4       |
                        |   flit	4       |
                        |   flip	4       |
                        |   flex	4       |
                        |   flee	4       |
                        |   flaw	4       |
                        |   flap	4       |
                        |   flag	4       |
                        |   fish	4       |
                        |   firm	4       |
                        |   fire	4       |
                        |   fine	4       |
                        |   find	4       |
                        |   film	4       |
                        |   fill	4       |
                        |   file	4       |
                        |   fell	4       |
                        |   feel	4       |
                        |   feed	4       |
                        |   fear	4       |
                        |   farm	4       |
                        |   fare	4       |
                        |   fall	4       |
                        |   fake	4       |
                        |   fail	4       |
                        |   fade	4       |
                        |   face	4       |
                        |   exit	4       |
                        |   etch	4       |
                        |   envy	4       |
                        |   emit	4       |
                        |   edit	4       |
                        |   edge	4       |
                        |   echo	4       |
                        |   ease	4       |
                        |   earn	4       |
                        |   dust	4       |
                        |   dupe	4       |
                        |   dump	4       |
                        |   dull	4       |
                        |   duck	4       |
                        |   drum	4       |
                        |   drop	4       |
                        |   drip	4       |
                        |   draw	4       |
                        |   drag	4       |
                        |   doze	4       |
                        |   down	4       |
                        |   dote	4       |
                        |   doom	4       |
                        |   dock	4       |
                        |   dive	4       |
                        |   dine	4       |
                        |   dice	4       |
                        |   dial	4       |
                        |   deny	4       |
                        |   dent	4       |
                        |   defy	4       |
                        |   deem	4       |
                        |   deed	4       |
                        |   deck	4       |
                        |   deal	4       |
                        |   daze	4       |
                        |   dawn	4       |
                        |   date	4       |
                        |   dash	4       |
                        |   dart	4       |
                        |   dare	4       |
                        |   curl	4       |
                        |   cure	4       |
                        |   curb	4       |
                        |   cull	4       |
                        |   crow	4       |
                        |   crop	4       |
                        |   cram	4       |
                        |   cost	4       |
                        |   copy	4       |
                        |   cope	4       |
                        |   cool	4       |
                        |   cook	4       |
                        |   come	4       |
                        |   comb	4       |
                        |   coin	4       |
                        |   coil	4       |
                        |   code	4       |
                        |   cock	4       |
                        |   coax	4       |
                        |   coat	4       |
                        |   club	4       |
                        |   clog	4       |
                        |   clip	4       |
                        |   claw	4       |
                        |   clap	4       |
                        |   cite	4       |
                        |   chop	4       |
                        |   chip	4       |
                        |   chew	4       |
                        |   chat	4       |
                        |   char	4       |
                        |   cave	4       |
                        |   cast	4       |
                        |   cash	4       |
                        |   cart	4       |
                        |   care	4       |
                        |   camp	4       |
                        |   calm	4       |
                        |   call	4       |
                        |   cake	4       |
                        |   cage	4       |
                        |   buzz	4       |
                        |   busy	4       |
                        |   bust	4       |
                        |   bury	4       |
                        |   burp	4       |
                        |   burn	4       |
                        |   bump	4       |
                        |   buck	4       |
                        |   brew	4       |
                        |   brag	4       |
                        |   bowl	4       |
                        |   bore	4       |
                        |   boot	4       |
                        |   boom	4       |
                        |   book	4       |
                        |   bond	4       |
                        |   bomb	4       |
                        |   bolt	4       |
                        |   boil	4       |
                        |   blur	4       |
                        |   blow	4       |
                        |   blot	4       |
                        |   blab	4       |
                        |   bite	4       |
                        |   bind	4       |
                        |   bill	4       |
                        |   bide	4       |
                        |   bend	4       |
                        |   belt	4       |
                        |   beep	4       |
                        |   beat	4       |
                        |   bear	4       |
                        |   beam	4       |
                        |   bawl	4       |
                        |   bath	4       |
                        |   bask	4       |
                        |   bash	4       |
                        |   base	4       |
                        |   bark	4       |
                        |   bare	4       |
                        |   bank	4       |
                        |   bang	4       |
                        |   band	4       |
                        |   balk	4       |
                        |   bale	4       |
                        |   bake	4       |
                        |   bait	4       |
                        |   bail	4       |
                        |   back	4       |
                        |   baby	4       |
                        |   avow	4       |
                        |   ally	4       |
                        |   ache	4       |
                        |   zip		3       |
                        |   zap		3       |
                        |   yak		3       |
                        |   woo		3       |
                        |   win		3       |
                        |   wed		3       |
                        |   wax		3       |
                        |   wag		3       |
                        |   wad		3       |
                        |   vow		3       |
                        |   vet		3       |
                        |   use		3       |
                        |   tug		3       |
                        |   try		3       |
                        |   toy		3       |
                        |   tow		3       |
                        |   top		3       |
                        |   tip		3       |
                        |   tie		3       |
                        |   tax		3       |
                        |   tap		3       |
                        |   tan		3       |
                        |   tag		3       |
                        |   sue		3       |
                        |   spy		3       |
                        |   sow		3       |
                        |   sob		3       |
                        |   ski		3       |
                        |   sit		3       |
                        |   sip		3       |
                        |   sew		3       |
                        |   set		3       |
                        |   see		3       |
                        |   say		3       |
                        |   saw		3       |
                        |   sap		3       |
                        |   sag		3       |
                        |   run		3       |
                        |   rub		3       |
                        |   row		3       |
                        |   rot		3       |
                        |   rob		3       |
                        |   rip		3       |
                        |   rig		3       |
                        |   rid		3       |
                        |   rib		3       |
                        |   rev		3       |
                        |   rat		3       |
                        |   ram		3       |
                        |   put		3       |
                        |   pry		3       |
                        |   pot		3       |
                        |   pop		3       |
                        |   ply		3       |
                        |   pit		3       |
                        |   pin		3       |
                        |   peg		3       |
                        |   pay		3       |
                        |   paw		3       |
                        |   pat		3       |
                        |   pan		3       |
                        |   pad		3       |
                        |   own		3       |
                        |   owe		3       |
                        |   opt		3       |
                        |   oil		3       |
                        |   nod		3       |
                        |   nip		3       |
                        |   net		3       |
                        |   nag		3       |
                        |   nab		3       |
                        |   mug		3       |
                        |   mow		3       |
                        |   mop		3       |
                        |   mob		3       |
                        |   mix		3       |
                        |   map		3       |
                        |   man		3       |
                        |   log		3       |
                        |   lob		3       |
                        |   lie		3       |
                        |   let		3       |
                        |   lay		3       |
                        |   lap		3       |
                        |   lag		3       |
                        |   kid		3       |
                        |   jog		3       |
                        |   jar		3       |
                        |   jam		3       |
                        |   jab		3       |
                        |   irk		3       |
                        |   ice		3       |
                        |   hum		3       |
                        |   hug		3       |
                        |   hop		3       |
